Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Mar-24,EQ,111.50,114.90,109.00,111.85,111.70,111.50,111.27,176.85,30.95,12712523.00,1414555741.45,72107.00
15-Mar-24,EQ,114.95,118.40,110.30,116.10,112.30,111.85,112.11,176.85,30.95,17995457.00,2017505209.90,77894.00
14-Mar-24,EQ,106.00,116.10,105.10,110.60,116.10,116.10,111.69,176.85,30.95,22071711.00,2465235483.20,96946.00
13-Mar-24,EQ,115.75,120.75,110.60,116.40,110.60,110.60,113.33,176.85,30.95,10390968.00,1177658387.25,79857.00
12-Mar-24,EQ,121.00,121.50,115.60,121.05,116.85,116.40,117.34,176.85,30.95,13692673.00,1606735959.75,82958.00
11-Mar-24,EQ,127.45,127.90,120.95,127.30,120.95,121.05,122.27,176.85,30.95,15257283.00,1865435900.60,115980.00
07-Mar-24,EQ,127.70,130.00,127.00,127.30,127.30,127.30,128.43,176.85,30.95,5281688.00,678338318.00,46943.00
06-Mar-24,EQ,132.95,132.95,126.00,132.60,127.65,127.30,128.11,176.85,30.95,13188068.00,1689568376.55,98340.00
05-Mar-24,EQ,134.35,136.45,132.30,132.35,132.70,132.60,133.77,176.85,30.95,7557668.00,1011002987.25,52345.00
04-Mar-24,EQ,134.95,135.25,132.00,134.50,132.30,132.35,133.13,176.85,30.95,6326188.00,842177208.05,54145.00
02-Mar-24,EQ,133.95,135.50,133.80,132.95,134.70,134.50,134.44,176.85,30.95,1259583.00,169332434.80,15181.00
01-Mar-24,EQ,137.80,139.45,132.20,135.25,133.10,132.95,135.13,176.85,30.95,10171608.00,1374499648.45,66069.00
29-Feb-24,EQ,132.00,136.00,128.65,132.20,135.90,135.25,133.14,176.85,30.95,15211481.00,2025181176.30,84371.00
28-Feb-24,EQ,138.35,139.35,131.45,138.35,132.30,132.20,133.71,176.85,30.95,10876005.00,1454255350.70,91962.00
27-Feb-24,EQ,139.90,141.05,138.00,139.70,138.20,138.35,138.91,176.85,30.95,6323453.00,878380942.10,60591.00
26-Feb-24,EQ,144.30,144.40,138.60,143.40,139.65,139.70,141.05,176.85,30.95,9594452.00,1353279269.10,80694.00
23-Feb-24,EQ,147.30,147.80,142.20,146.00,143.35,143.40,144.11,176.85,30.95,12613747.00,1817757812.05,94451.00
22-Feb-24,EQ,144.95,146.15,142.50,139.20,146.15,146.00,145.08,176.85,30.95,29451261.00,4272691534.00,141190.00
21-Feb-24,EQ,144.30,145.65,138.00,142.60,139.40,139.20,141.12,176.85,30.95,13997273.00,1975240402.40,90525.00
20-Feb-24,EQ,143.00,147.40,142.00,141.30,142.40,142.60,144.26,176.85,30.95,27898133.00,4024464225.25,144215.00
19-Feb-24,EQ,136.50,141.30,134.85,134.60,141.30,141.30,138.76,176.85,30.95,8339135.00,1157174501.80,45845.00
16-Feb-24,EQ,137.50,143.95,133.60,137.10,134.40,134.60,138.93,176.85,30.95,38293465.00,5320222299.80,176232.00
15-Feb-24,EQ,137.10,137.10,137.10,130.60,137.10,137.10,137.10,176.85,30.95,1328284.00,182107736.40,7985.00
14-Feb-24,EQ,126.90,130.60,126.00,124.40,130.60,130.60,129.89,176.85,30.95,7730529.00,1004131515.05,26142.00
13-Feb-24,EQ,124.35,132.80,120.75,133.15,125.45,124.40,124.97,176.85,30.95,57656532.00,7205170441.50,264078.00
12-Feb-24,EQ,146.75,146.75,133.15,147.95,133.15,133.15,136.44,176.85,30.95,27263338.00,3719691313.95,152384.00
09-Feb-24,EQ,154.65,154.65,139.65,153.90,148.80,147.95,145.10,176.85,30.95,35453544.00,5144273689.20,223559.00
08-Feb-24,EQ,159.00,159.40,153.30,158.05,154.00,153.90,155.16,176.85,30.95,21484102.00,3333495406.20,137105.00
