Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Mar-24,EQ,945.85,974.80,936.65,945.85,972.00,972.45,961.64,1065.60,400.45,12121719.00,11656766985.35,301579.00
15-Mar-24,EQ,968.40,979.75,940.00,967.75,943.95,945.85,951.07,1065.60,400.45,23390913.00,22246300902.20,409527.00
14-Mar-24,EQ,964.95,982.00,955.40,973.20,968.40,967.75,968.09,1065.60,400.45,22931801.00,22200006561.95,453838.00
13-Mar-24,EQ,1019.00,1021.00,963.55,1016.50,973.15,973.20,988.04,1065.60,400.45,16564155.00,16366004383.05,429325.00
12-Mar-24,EQ,1027.80,1037.00,1011.30,1028.00,1019.00,1016.50,1022.19,1065.60,400.45,8763820.00,8958273288.40,243990.00
11-Mar-24,EQ,1034.75,1035.95,1021.00,1039.30,1029.00,1028.00,1028.41,1065.60,400.45,7502450.00,7715605116.35,226237.00
07-Mar-24,EQ,1025.00,1047.00,1014.05,1017.65,1038.00,1039.30,1034.02,1065.60,400.45,16877082.00,17451286445.70,334768.00
06-Mar-24,EQ,1025.00,1030.65,1009.00,1021.90,1018.30,1017.65,1017.80,1065.60,400.45,14214823.00,14467813308.05,324328.00
05-Mar-24,EQ,1027.00,1065.60,1005.35,987.20,1022.60,1021.90,1034.27,1065.60,400.45,59811033.00,61860832911.30,1021819.00
04-Mar-24,EQ,993.25,995.00,980.10,988.35,988.90,987.20,987.44,995.00,400.45,6084495.00,6008071877.35,172305.00
02-Mar-24,EQ,987.00,992.60,981.55,977.40,989.00,988.35,988.11,992.60,400.45,1783565.00,1762352615.40,44527.00
01-Mar-24,EQ,958.95,980.40,956.70,950.20,978.00,977.40,973.55,980.40,400.45,10645369.00,10363817721.85,262649.00
29-Feb-24,EQ,959.00,959.25,942.90,958.05,954.80,950.20,951.04,976.00,400.45,10346657.00,9840123082.15,265774.00
28-Feb-24,EQ,966.15,976.00,950.30,962.70,956.45,958.05,964.72,976.00,400.45,15219187.00,14682325105.15,274090.00
27-Feb-24,EQ,936.75,965.00,935.50,936.95,962.55,962.70,952.91,965.00,400.45,12810206.00,12206913965.65,255150.00
26-Feb-24,EQ,937.10,945.00,930.70,937.40,937.00,936.95,939.40,950.00,400.45,5600234.00,5260857679.25,155986.00
23-Feb-24,EQ,933.10,939.80,929.40,932.30,935.05,937.40,935.70,950.00,400.45,7047473.00,6594319211.95,177363.00
22-Feb-24,EQ,924.65,933.85,914.60,921.05,932.00,932.30,924.59,950.00,400.45,6437014.00,5951596828.20,186849.00
21-Feb-24,EQ,926.35,937.20,916.50,926.35,921.50,921.05,927.22,950.00,400.45,6011018.00,5573515628.15,157853.00
20-Feb-24,EQ,934.45,934.65,920.40,932.60,927.65,926.35,926.54,950.00,400.45,4733639.00,4385887798.70,153026.00
19-Feb-24,EQ,942.95,942.95,931.05,938.60,933.80,932.60,934.10,950.00,400.45,4632214.00,4326948761.15,137170.00
16-Feb-24,EQ,925.00,948.80,924.10,920.55,938.40,938.60,941.47,950.00,400.45,12826164.00,12075406001.80,266600.00
15-Feb-24,EQ,923.70,927.00,916.35,918.30,920.55,920.55,921.13,950.00,400.45,6430799.00,5923596433.30,182677.00
14-Feb-24,EQ,900.00,919.95,894.35,906.90,918.50,918.30,908.86,950.00,400.45,6570939.00,5972068977.20,183347.00
13-Feb-24,EQ,911.60,919.10,894.00,911.60,907.95,906.90,907.32,950.00,400.45,8574218.00,7779585680.05,231171.00
12-Feb-24,EQ,916.10,925.00,908.00,915.00,912.00,911.60,915.51,950.00,400.45,7286778.00,6671136318.90,208068.00
09-Feb-24,EQ,926.00,927.40,906.05,924.30,915.70,915.00,914.60,950.00,400.45,7904881.00,7229833132.70,270899.00
08-Feb-24,EQ,937.00,939.70,918.80,933.80,925.00,924.30,926.75,950.00,400.45,11576253.00,10728317488.90,305476.00
07-Feb-24,EQ,944.00,944.00,928.05,939.55,935.00,933.80,935.53,950.00,400.45,7913010.00,7402835642.10,286625.00
06-Feb-24,EQ,936.40,941.30,928.40,926.80,939.70,939.55,937.35,950.00,400.45,12714803.00,11918259367.80,326341.00
05-Feb-24,EQ,934.00,950.00,915.35,878.75,929.75,926.80,934.93,950.00,400.45,38686871.00,36169670768.70,647208.00
02-Feb-24,EQ,886.00,895.75,876.85,878.50,882.80,878.75,886.37,900.15,400.45,13003437.00,11525898374.50,317653.00
01-Feb-24,EQ,900.00,900.15,876.30,884.20,880.00,878.50,886.70,900.15,400.45,14505885.00,12862306257.75,290615.00
31-Jan-24,EQ,865.20,896.50,865.20,858.85,884.80,884.20,882.17,896.50,400.45,24562392.00,21668138577.05,408702.00
30-Jan-24,EQ,843.00,885.95,842.85,841.00,864.90,858.85,863.55,885.95,400.45,19734613.00,17041884369.10,349849.00
29-Jan-24,EQ,811.85,843.80,811.05,811.85,840.55,841.00,830.88,843.80,400.45,12823686.00,10654991884.60,250441.00
25-Jan-24,EQ,814.00,814.15,800.30,810.90,810.55,811.85,809.73,827.60,400.45,10109720.00,8186165890.10,182572.00
24-Jan-24,EQ,802.40,812.00,788.50,800.45,811.65,810.90,803.01,827.60,400.45,7217542.00,5795767502.25,183775.00
23-Jan-24,EQ,824.90,827.60,796.30,818.90,802.55,800.45,810.46,827.60,400.45,9436209.00,7647662373.75,224944.00
20-Jan-24,EQ,826.00,827.00,817.05,823.55,819.95,818.90,821.45,827.00,400.10,2837388.00,2330775194.85,76427.00
19-Jan-24,EQ,823.85,826.00,819.50,819.05,824.00,823.55,822.98,827.00,400.10,5706888.00,4696652130.95,156090.00
18-Jan-24,EQ,807.00,822.95,797.00,805.55,819.60,819.05,812.70,827.00,400.10,11500495.00,9346447986.25,280473.00
17-Jan-24,EQ,811.00,813.70,804.00,818.85,807.50,805.55,808.24,827.00,400.10,7895439.00,6381388279.55,216248.00
16-Jan-24,EQ,812.45,827.00,812.45,812.45,817.65,818.85,821.11,827.00,400.10,10159066.00,8341681993.50,221497.00
15-Jan-24,EQ,820.00,820.40,810.30,816.45,813.20,812.45,814.14,820.40,400.10,4835856.00,3937066936.90,197513.00
12-Jan-24,EQ,818.15,818.55,809.15,815.65,817.45,816.45,815.16,818.55,385.00,7664094.00,6247447301.25,153071.00
11-Jan-24,EQ,813.50,817.50,808.45,808.45,815.25,815.65,813.62,817.50,385.00,11075167.00,9010980254.80,266604.00
10-Jan-24,EQ,800.00,811.00,792.65,799.80,808.95,808.45,803.37,811.00,385.00,9980044.00,8017707344.25,182023.00
09-Jan-24,EQ,799.95,809.20,793.15,789.10,801.00,799.80,802.08,809.20,385.00,12872757.00,10324952552.85,264264.00
08-Jan-24,EQ,798.40,800.35,787.50,790.95,789.85,789.10,793.09,805.90,385.00,7668471.00,6081779068.55,226261.00
05-Jan-24,EQ,799.00,805.90,787.10,795.75,792.00,790.95,795.04,805.90,381.00,11091198.00,8817915485.35,267335.00
04-Jan-24,EQ,798.00,801.80,791.30,781.45,795.70,795.75,796.06,804.00,381.00,14298444.00,11382414604.35,311507.00
03-Jan-24,EQ,786.05,790.00,776.25,784.40,782.60,781.45,782.06,804.00,381.00,8559060.00,6693735336.40,235425.00
02-Jan-24,EQ,800.50,804.00,779.00,790.60,786.00,784.40,787.89,804.00,381.00,13791090.00,10865894988.45,292570.00
01-Jan-24,EQ,785.00,798.70,781.05,779.95,792.00,790.60,791.96,802.90,381.00,12570717.00,9955454953.90,280616.00
29-Dec-23,EQ,755.00,802.90,754.00,753.90,779.40,779.95,785.47,802.90,375.20,41170191.00,32337828533.80,593211.00
28-Dec-23,EQ,742.65,757.95,739.05,740.90,754.85,753.90,748.29,757.95,375.20,14906199.00,11154232289.65,243381.00
27-Dec-23,EQ,728.00,741.85,725.15,719.55,740.30,740.90,735.95,741.85,375.20,15052800.00,11078142060.15,288698.00
26-Dec-23,EQ,727.40,727.50,716.60,724.70,720.00,719.55,721.73,734.75,375.20,7229143.00,5217510087.80,195383.00
22-Dec-23,EQ,716.80,731.00,712.00,708.85,725.00,724.70,724.50,734.75,375.20,12062238.00,8739100445.30,288650.00
21-Dec-23,EQ,703.00,711.90,696.25,705.25,710.00,708.85,707.01,734.75,375.20,7702232.00,5445551052.70,208027.00
20-Dec-23,EQ,730.95,733.00,703.05,728.95,705.95,705.25,717.08,734.75,375.20,8107602.00,5813826453.40,208549.00
19-Dec-23,EQ,732.60,732.60,726.00,730.80,730.00,728.95,729.07,734.75,375.20,4511101.00,3288905953.10,153400.00
18-Dec-23,EQ,732.90,734.75,728.10,732.40,730.15,730.80,731.89,734.75,375.20,5450397.00,3989096171.75,183288.00
15-Dec-23,EQ,723.90,734.00,721.25,719.75,732.20,732.40,729.16,734.00,375.20,12082079.00,8809730061.50,220965.00
14-Dec-23,EQ,724.00,724.70,718.60,720.30,719.95,719.75,720.82,727.60,375.20,6732352.00,4852807881.05,155479.00
13-Dec-23,EQ,716.00,721.45,713.50,715.40,720.50,720.30,718.31,727.60,375.20,5807736.00,4171749157.40,152801.00
12-Dec-23,EQ,724.80,724.80,713.00,720.80,716.00,715.40,718.41,727.60,375.20,6461539.00,4642062987.95,172429.00
11-Dec-23,EQ,717.80,726.50,716.55,714.55,720.75,720.80,721.13,727.60,375.20,6403209.00,4617537214.85,136631.00
