"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"46","Suven Pharmaceuticals Ltd","SUVENPHAR","P&F | F.A","9.14%","686.95","671,741"
"53","Borosil Renewables Ltd","BORORENEW","P&F | F.A","7.38%","577.9","667,700"
"65","CG Power and Industrial Solutions Ltd","CGPOWER","P&F | F.A","6.86%","473.65","3,356,447"
"107","Steel Authority Of India Limited","SAIL","P&F | F.A","4.58%","126.75","12,987,547"
"25","Global Health Ltd","MEDANTA","P&F | F.A","4.4%","1424.25","99,857"
"12","Kaynes Technology India Ltd","KAYNES","P&F | F.A","3.79%","3067.65","35,336"
"105","Bank Of India","BANKINDIA","P&F | F.A","3.5%","136.05","1,466,415"
"108","Jamna Auto Industries Limited","JAMNAAUTO","P&F | F.A","3.42%","124","371,251"
"56","Oil India Limited","OIL","P&F | F.A","3.34%","564.8","478,481"
"120","Irb Infrastructure Developers Limited","IRB","P&F | F.A","3.26%","64.9","1,418,433"
"114","Nhpc Limited","NHPC","P&F | F.A","3.12%","90.9","9,673,810"
"79","New India Assurance Company Ltd","NIACL","P&F | F.A","2.94%","265.7","267,380"
"68","General Insurance Corporation of India","GICRE","P&F | F.A","2.91%","391.15","214,712"
"47","Elgi Equipments Limited","ELGIEQUIP","P&F | F.A","2.73%","669.85","130,146"
"98","Indian Railway Finance Corporation Ltd","IRFC","P&F | F.A","2.69%","150.7","4,268,493"
"72","Bls International Services Limited","BLS","P&F | F.A","2.65%","375.8","180,359"
"13","Angel One Ltd","ANGELONE","P&F | F.A","2.63%","2855.9","38,619"
"93","Indian Oil Corporation Limited","IOC","P&F | F.A","2.42%","169.55","2,755,134"
"7","Tube Investments of India Ltd","TIINDIA","P&F | F.A","2.41%","3572.85","44,890"
"102","Lemon Tree Hotels Ltd","LEMONTREE","P&F | F.A","2.33%","142.65","307,536"
"24","Metropolis Healthcare Ltd","METROPOLIS","P&F | F.A","2.29%","1638.65","19,072"
"49","Bharat Petroleum Corporation Limited","BPCL","P&F | F.A","2.26%","617.5","488,857"
"85","Gujarat State Fertilizers & Chemicals Limited","GSFC","P&F | F.A","2.25%","222.2","249,472"
"22","C.E. Info Systems Ltd","MAPMYINDIA","P&F | F.A","2.23%","1847","4,413"
"64","Varroc Engineering Ltd","VARROC","P&F | F.A","2.23%","498.4","14,035"
"99","Tata Steel Limited","TATASTEEL","P&F | F.A","2.2%","143.95","2,731,913"
"6","Multi Commodity Exchange Of India Limited","MCX","P&F | F.A","2.11%","3843.2","71,420"
"87","Castrol India Limited","CASTROLIND","P&F | F.A","2.11%","212.8","1,182,287"
"90","Housing and Urban Development Corporation","HUDCO","P&F | F.A","2.09%","195.15","912,232"
"95","National Aluminium Company Limited","NATIONALUM","P&F | F.A","2.02%","159.1","1,217,135"
"2","Solar Industries India Limited","SOLARINDS","P&F | F.A","2.01%","6865.45","2,952"
"118","Motherson Sumi Wiring India Ltd","MSUMI","P&F | F.A","2%","71.55","468,885"
"67","Vaibhav Global Limited","VAIBHAVGBL","P&F | F.A","1.94%","430.45","25,463"
"74","V-guard Industries Limited","VGUARD","P&F | F.A","1.94%","331.25","55,484"
"83","Mangalore Refinery And Petrochemicals Limited","MRPL","P&F | F.A","1.93%","232.2","375,337"
"58","Icici Prudential Life Insurance Company Limited","ICICIPRULI","P&F | F.A","1.86%","542.55","272,559"
"60","Hindustan Petroleum Corporation Limited","HINDPETRO","P&F | F.A","1.86%","518.9","411,745"
"126","Yes Bank Limited","YESBANK","P&F | F.A","1.84%","24.9","22,450,743"
"1","Bajaj Auto Limited","BAJAJ-AUTO","P&F | F.A","1.83%","8054.2","58,067"
"61","Hindalco Industries Limited","HINDALCO","P&F | F.A","1.81%","512.95","1,079,482"
"20","Central Depository Services Ltd","CDSL","P&F | F.A","1.79%","1951.4","76,783"
"78","Knr Constructions Limited","KNRCON","P&F | F.A","1.75%","272.7","38,792"
"116","Idbi Bank Limited","IDBI","P&F | F.A","1.74%","87.95","510,450"
"19","Olectra Greentech Ltd","OLECTRA","P&F | F.A","1.69%","2000","124,369"
"109","Sjvn Limited","SJVN","P&F | F.A","1.65%","123.15","2,146,407"
"75","Exide Industries Limited","EXIDEIND","P&F | F.A","1.64%","325.55","113,807"
"16","Balaji Amines Limited","BALAMINES","P&F | F.A","1.62%","2209","1,176"
"31","Adani Energy Solutions Ltd","ADANIENSOL","P&F | F.A","1.62%","1082.15","104,344"
"30","Intellect Design Arena Limited","INTELLECT","P&F | F.A","1.61%","1123.85","103,850"
"70","Tata Power Company Limited","TATAPOWER","P&F | F.A","1.61%","377.75","996,596"
"113","Jm Financial Limited","JMFINANCIL","P&F | F.A","1.61%","97.85","194,372"
"40","Happiest Minds Technologies Ltd","HAPPSTMNDS","P&F | F.A","1.58%","860.35","27,976"
"45","Godawari Power And Ispat Limited","GPIL","P&F | F.A","1.56%","753.3","25,788"
"111","Restaurant Brands Asia Ltd","RBA","P&F | F.A","1.54%","108.8","72,456"
"36","Jk Lakshmi Cement Limited","JKLAKSHMI","P&F | F.A","1.53%","932.95","21,161"
"69","Adani Wilmar Ltd","AWL","P&F | F.A","1.53%","387.5","221,435"
"33","Capri Global Capital Limited","CGCL","P&F | F.A","1.5%","979.3","5,991"
"51","Graphite India Limited","GRAPHITE","P&F | F.A","1.49%","607.8","92,538"
"34","Tata Motors Limited","TATAMOTORS","P&F | F.A","1.48%","964.3","639,377"
"10","Computer Age Management Services Ltd","CAMS","P&F | F.A","1.46%","3116.85","28,161"
"88","Engineers India Limited","ENGINERSIN","P&F | F.A","1.46%","212.6","276,478"
"104","Nbcc (india) Limited","NBCC","P&F | F.A","1.44%","137.2","999,893"
"54","Gujarat Gas Limited","GUJGASLTD","P&F | F.A","1.42%","573.4","91,184"
"57","Zensar Technologies Limited","ZENSARTECH","P&F | F.A","1.4%","557.3","32,996"
"62","Deepak Fertilizers And Petrochemicals Corporation Limited","DEEPAKFERT","P&F | F.A","1.39%","512.8","20,914"
"124","Easy Trip Planners Ltd","EASEMYTRIP","P&F | F.A","1.34%","49","1,089,840"
"115","Tata Teleservices (maharashtra) Limited","TTML","P&F | F.A","1.32%","88.6","218,237"
"38","Piramal Enterprises Limited","PEL","P&F | F.A","1.31%","926.7","59,767"
"101","Rashtriya Chemicals And Fertilizers Limited","RCF","P&F | F.A","1.27%","143.4","152,384"
"23","Bharat Dynamics Ltd","BDL","P&F | F.A","1.26%","1831.85","65,681"
