"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"25","Power Grid Corporation Of India Limited","POWERGRID","P&F | F.A","1.18%","282.85","35,043,015"
"20","State Bank Of India","SBIN","P&F | F.A","0.75%","748.1","19,217,113"
"12","Bajaj Finserv Limited","BAJAJFINSV","P&F | F.A","0.59%","1593.8","1,352,363"
"23","Coal India Limited","COALINDIA","P&F | F.A","0.58%","436.7","11,711,699"
"18","Icici Bank Limited","ICICIBANK","P&F | F.A","0.57%","1052.2","20,944,844"
"8","Reliance Industries Limited","RELIANCE","P&F | F.A","0.36%","2921.6","11,814,488"
"10","Kotak Mahindra Bank Limited","KOTAKBANK","P&F | F.A","0.35%","1689.45","6,606,975"
"13","Sun Pharmaceuticals Industries Limited","SUNPHARMA","P&F | F.A","0.26%","1577.95","2,350,244"
"9","Grasim Industries Limited","GRASIM","P&F | F.A","0.25%","2191.4","1,499,473"
"14","Cipla Limited","CIPLA","P&F | F.A","0.23%","1480.35","4,923,680"
"7","Larsen & Toubro Limited","LT","P&F | F.A","0.21%","3477.55","2,119,512"
"19","Jsw Steel Limited","JSWSTEEL","P&F | F.A","0.19%","800.1","3,155,812"
"21","Wipro Limited","WIPRO","P&F | F.A","0.17%","518.6","7,231,382"
"11","Infosys Limited","INFY","P&F | F.A","0.16%","1673.9","7,814,722"
"1","NIFTY","NIFTY","P&F | F.A","0.14%","21982.8","0"
"17","Axis Bank Limited","AXISBANK","P&F | F.A","0.08%","1075.1","13,648,997"
"27","Tata Steel Limited","TATASTEEL","P&F | F.A","0.07%","140.85","32,248,156"
"3","Bajaj Finance Limited","BAJFINANCE","P&F | F.A","-0.05%","6495.35","1,699,098"
"4","Dr. Reddy's Laboratories Limited","DRREDDY","P&F | F.A","-0.06%","6424.25","1,102,788"
"22","Hindalco Industries Limited","HINDALCO","P&F | F.A","-0.11%","503.85","16,860,796"
"15","Hdfc Bank Limited","HDFCBANK","P&F | F.A","-0.43%","1403.4","26,647,850"
"26","Oil & Natural Gas Corporation Limited","ONGC","P&F | F.A","-0.43%","264.6","17,179,832"
"24","Itc Limited","ITC","P&F | F.A","-0.49%","406.3","14,895,144"
"6","Tata Consultancy Services Limited","TCS","P&F | F.A","-0.58%","4095.1","3,772,719"
"16","Tech Mahindra Limited","TECHM","P&F | F.A","-0.93%","1273.85","2,251,498"
"2","Bajaj Auto Limited","BAJAJ-AUTO","P&F | F.A","-3.41%","7909.35","1,042,536"
"5","Apollo Hospitals Enterprise Limited","APOLLOHOSP","P&F | F.A","-4.1%","6101.6","1,543,361"
