"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 23-Mar-2023"
"NIFTY 50","21,932.20","22,180.70","21,883.30","22,011.95","22,096.75","84.80","0.39","38,86,56,439","39,023.01","22,526.60","17,204.65","0.19","29.40"
"HEROMOTOCO","4,538.80","4,736.35","4,517.60","4,519.90","4,698.15","178.25","3.94","9,02,115","420.60","4,949.05","2,246.00","3.29","98.26"
"MARUTI","11,890.05","12,427.30","11,890.05","11,908.15","12,304.00","395.85","3.32","10,62,263","1,299.31","12,427.30","8,140.00","7.60","47.70"
"SUNPHARMA","1,568.90","1,621.00","1,566.10","1,565.20","1,616.00","50.80","3.25","49,41,447","791.35","1,627.00","922.45","4.24","64.57"
"UPL","455.60","474.35","455.00","455.55","469.60","14.05","3.08","70,19,704","327.83","759.95","447.80","-4.50","-33.77"
"APOLLOHOSP","6,169.15","6,390.90","6,168.70","6,182.50","6,365.00","182.50","2.95","7,27,548","459.09","6,874.45","4,168.00","-5.68","49.21"
"BAJAJ-AUTO","8,700.05","9,050.00","8,682.00","8,750.60","8,956.10","205.50","2.35","8,51,210","760.82","9,050.00","3,769.55","8.66","131.57"
"INDUSINDBK","1,477.75","1,520.35","1,473.00","1,484.10","1,517.00","32.90","2.22","53,09,042","796.61","1,694.50","1,004.00","-0.34","48.50"
"CIPLA","1,453.00","1,489.60","1,451.05","1,448.70","1,477.60","28.90","1.99","17,46,930","257.44","1,519.00","852.00","2.35","70.43"
"SBILIFE","1,474.00","1,511.00","1,458.10","1,468.05","1,495.30","27.25","1.86","5,63,028","83.85","1,569.40","1,083.25","-0.04","34.19"
"EICHERMOT","3,945.00","4,013.95","3,863.20","3,918.95","3,990.00","71.05","1.81","10,33,237","408.47","4,200.00","2,836.00","3.96","36.23"
"TITAN","3,627.55","3,726.90","3,621.25","3,627.55","3,692.05","64.50","1.78","12,81,102","472.38","3,886.95","2,466.80","1.38","47.15"
"ITC","421.25","429.65","421.25","421.25","428.30","7.05","1.67","3,88,61,818","1,660.45","499.70","374.20","6.26","12.60"
"TATAMOTORS","964.90","986.20","950.35","964.90","979.75","14.85","1.54","1,36,38,296","1,327.14","1,065.60","400.45","6.38","133.76"
"DRREDDY","6,129.00","6,239.40","6,105.05","6,128.20","6,215.00","86.80","1.42","3,05,719","189.40","6,505.90","4,384.05","-2.30","39.49"
"LT","3,546.20","3,647.30","3,546.20","3,560.00","3,610.00","50.00","1.40","30,20,545","1,090.18","3,737.90","2,121.00","9.75","63.95"
"BHARTIARTL","1,226.95","1,245.00","1,222.00","1,220.80","1,237.00","16.20","1.33","78,40,007","967.18","1,245.00","738.85","8.44","61.89"
"HINDALCO","539.70","550.65","537.35","539.70","546.20","6.50","1.20","55,18,261","301.08","620.50","386.00","7.02","37.35"
"ADANIENT","3,066.55","3,128.95","3,048.05","3,066.50","3,103.00","36.50","1.19","9,51,557","294.51","3,350.00","1,573.00","-3.58","73.23"
"ADANIPORTS","1,262.45","1,289.10","1,255.05","1,262.45","1,276.70","14.25","1.13","30,76,926","392.84","1,356.55","571.55","-0.73","95.68"
"JSWSTEEL","808.00","832.95","806.75","812.35","820.00","7.65","0.94","39,83,433","328.22","895.75","655.75","-0.42","23.51"
"POWERGRID","273.75","278.25","271.35","273.75","276.25","2.50","0.91","2,20,97,588","610.11","298.90","164.03","-1.55","24.13"
"TATASTEEL","149.00","152.75","148.35","150.10","151.45","1.35","0.90","6,82,41,556","1,032.49","159.15","101.55","5.49","44.71"
"HINDUNILVR","2,239.05","2,266.00","2,232.05","2,242.35","2,262.00","19.65","0.88","35,07,809","789.92","2,769.65","2,232.05","-6.25","-9.20"
"ASIANPAINT","2,821.15","2,855.15","2,808.00","2,821.15","2,844.80","23.65","0.84","16,52,689","467.70","3,568.00","2,708.65","-5.34","1.56"
"BRITANNIA","4,800.00","4,892.95","4,784.90","4,806.70","4,846.00","39.30","0.82","2,64,787","128.31","5,386.05","4,153.00","-1.18","14.67"
"BPCL","589.00","604.45","584.55","587.80","592.50","4.70","0.80","1,07,22,770","639.99","687.95","327.00","-6.38","70.17"
"ICICIBANK","1,081.15","1,093.70","1,078.70","1,081.80","1,089.50","7.70","0.71","1,72,14,415","1,876.22","1,113.55","844.05","3.65","27.45"
"BAJFINANCE","6,705.00","6,803.00","6,686.30","6,715.75","6,763.00","47.25","0.70","11,25,238","760.64","8,192.00","5,522.70","1.08","15.91"
"GRASIM","2,200.00","2,234.00","2,194.45","2,205.55","2,220.00","14.45","0.66","5,51,648","122.15","2,270.55","1,585.20","1.35","38.46"
"ULTRACEMCO","9,610.00","9,751.80","9,580.00","9,600.75","9,654.20","53.45","0.56","2,24,511","217.24","10,526.00","7,300.00","-2.88","30.69"
"M&M","1,865.85","1,905.45","1,847.25","1,865.85","1,875.00","9.15","0.49","37,86,990","712.14","1,982.30","1,123.40","1.03","61.28"
"NESTLEIND","2,540.20","2,592.00","2,537.00","2,553.65","2,566.00","12.35","0.48","10,13,563","259.73","2,769.30","1,869.87","1.17","-86.49"
"SBIN","743.85","748.80","741.40","744.30","746.50","2.20","0.30","1,55,35,921","1,159.12","793.40","501.55","-3.21","45.63"
"RELIANCE","2,899.95","2,920.00","2,894.70","2,901.95","2,906.55","4.60","0.16","97,63,804","2,840.87","3,024.90","2,198.00","-0.86","29.46"
"KOTAKBANK","1,769.90","1,782.50","1,765.00","1,772.15","1,774.95","2.80","0.16","70,61,283","1,252.31","2,064.40","1,667.40","1.74","5.76"
"ONGC","262.95","265.25","258.45","262.95","263.35","0.40","0.15","1,30,25,089","341.61","284.95","146.50","-3.55","72.28"
"HDFCLIFE","623.90","628.65","616.00","622.25","623.15","0.90","0.14","36,36,733","226.77","710.60","481.60","8.04","25.13"
"COALINDIA","430.90","436.20","428.30","432.05","432.20","0.15","0.03","91,72,888","396.57","487.60","207.60","-0.23","102.46"
"HDFCBANK","1,441.00","1,450.75","1,437.75","1,445.75","1,442.55","-3.20","-0.22","2,29,90,163","3,319.30","1,757.50","1,363.55","0.26","-7.70"
"NTPC","324.50","327.25","321.15","325.00","324.00","-1.00","-0.31","1,47,09,219","477.80","359.95","166.80","-3.38","86.00"
"AXISBANK","1,040.10","1,047.25","1,029.95","1,035.60","1,031.00","-4.60","-0.44","98,91,194","1,026.94","1,151.85","826.05","-4.69","21.74"
"TATACONSUM","1,133.95","1,140.00","1,119.00","1,133.95","1,123.70","-10.25","-0.90","16,96,377","190.85","1,269.00","690.00","-3.27","58.77"
"DIVISLAB","3,463.00","3,476.35","3,425.00","3,465.30","3,431.00","-34.30","-0.99","4,09,887","141.18","4,074.40","2,769.50","-5.96","22.42"
"BAJAJFINSV","1,593.00","1,610.00","1,583.40","1,602.60","1,584.00","-18.60","-1.16","15,70,412","250.11","1,741.00","1,215.00","0.04","23.07"
"TECHM","1,258.50","1,279.90","1,236.10","1,282.75","1,263.00","-19.75","-1.54","29,90,908","377.82","1,416.30","981.05","-2.62","14.84"
"TCS","3,897.00","3,938.00","3,855.00","3,972.95","3,909.00","-63.95","-1.61","58,52,485","2,284.37","4,254.75","3,070.25","-2.02","25.16"
"HCLTECH","1,560.00","1,571.45","1,508.20","1,595.80","1,556.80","-39.00","-2.44","74,68,824","1,151.17","1,697.35","1,016.25","-4.79","46.15"
"WIPRO","489.25","490.75","479.55","500.45","488.15","-12.30","-2.46","1,43,23,251","695.77","545.90","352.00","-6.58","34.74"
