"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HEROMOTOCO",4538.8,4736.35,4517.6,4519.9,4698.15,3.94,902115,4206029997.15,"21-Feb-2024"
"MARUTI",11890.05,12427.3,11890.05,11908.15,12304,3.32,1062263,12993080507.13,"03-Aug-2023"
"SUNPHARMA",1568.9,1621,1566.1,1565.2,1616,3.25,4941447,7913529712.62,"09-Feb-2024"
"UPL",455.6,474.35,455,455.55,469.6,3.08,7019704,3278271965.04,"03-Aug-2023"
"APOLLOHOSP",6169.15,6390.9,6168.7,6182.5,6365,2.95,727548,4590937012.2,"20-Feb-2024"
"BAJAJ-AUTO",8700.05,9050,8682,8750.6,8956.1,2.35,851210,7608166052.6,"29-Feb-2024"
"INDUSINDBK",1477.75,1520.35,1473,1484.1,1517,2.22,5309042,7966058249.74,"02-Jun-2023"
"CIPLA",1453,1489.6,1451.05,1448.7,1477.6,1.99,1746930,2574380863.8,"21-Jul-2023"
"SBILIFE",1474,1511,1458.1,1468.05,1495.3,1.86,563028,838472558.16,"15-Mar-2024"
"EICHERMOT",3945,4013.95,3863.2,3918.95,3990,1.81,1033237,4084716496.84,"14-Aug-2023"
"TITAN",3627.55,3726.9,3621.25,3627.55,3692.05,1.78,1281102,4723756160.52,"13-Jul-2023"
"ITC",421.25,429.65,421.25,421.25,428.3,1.67,38861818,16604488976.86,"08-Feb-2024"
"TATAMOTORS",964.9,986.2,950.35,964.9,979.75,1.54,13638296,13271425837.6,"28-Jul-2023"
"DRREDDY",6129,6239.4,6105.05,6128.2,6215,1.42,305719,1893981177.23,"11-Jul-2023"
"LT",3546.2,3647.3,3546.2,3560,3610,1.4,3020545,10901781219.45,"12-Sep-2023"
"BHARTIARTL",1226.95,1245,1222,1220.8,1237,1.33,7840007,9671824635.55,"11-Aug-2023"
"HINDALCO",539.7,550.65,537.35,539.7,546.2,1.2,5518261,3010763201.6,"14-Aug-2023"
"ADANIENT",3066.55,3128.95,3048.05,3066.5,3103,1.19,951557,2945135523.99,"07-Jul-2023"
"ADANIPORTS",1262.45,1289.1,1255.05,1262.45,1276.7,1.13,3076926,3928434501.24,"28-Jul-2023"
"JSWSTEEL",808,832.95,806.75,812.35,820,0.94,3983433,3282229289.01,"11-Jul-2023"
